N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
1,19897523,D,C,B,D,C,A,D,C,A,A,B,C,A,C,C,B,B,A,B,A,C,B,A,B
2,19713866,C,A,B,A,B,C,D,C,A,A,D,A,B,C,B,D,A,A,B,A,A,B,A,C
3,7281493,A,B,B,D,C,C,A,C,C,A,B,A,A,A,D,D,B,B,B,C,B,A,C,B
4,19712978,B,A,B,B,D,A,D,A,A,A,C,A,A,C,A,B,A,B,A,A,A,A,B,B
5,20089087,A,B,B,D,C,C,D,C,D,A,A,A,A,A,A,A,B,D,B,C,B,B,A,B
6,19712977,C,A,D,D,B,C,B,B,D,A,B,A,C,D,C,A,C,A,D,D,A,A,D,C
7,19899302,C,B,D,C,A,A,D,B,A,B,C,D,C,D,B,A,A,C,C,B,B,D,A,D
8,2775717,A,C,B,D,C,C,D,C,A,A,C,A,C,C,A,B,B,A,A,B,A,C,A,B
9,7281451,B,D,A,D,C,D,D,B,A,A,B,A,B,C,A,B,A,A,A,A,C,B,A,A
10,20097096,B,C,D,D,C,C,D,C,A,A,B,C,A,D,A,A,D,D,A,A,B,D,A,C
11,4235922,B,A,B,D,C,C,D,C,A,A,B,C,A,A,B,B,B,A,B,A,B,D,A,C
12,3195497,B,D,C,D,C,C,D,B,A,A,A,D,D,A,A,C,C,A,B,D,C,C,C,A
13,4770492,B,B,B,D,B,C,D,B,A,D,A,C,C,B,B,D,D,C,C,D,D,B,A,B
14,6932990,B,B,B,D,C,B,D,D,A,A,B,C,C,B,C,D,B,B,B,B,A,D,A,C
15,3221217,B,B,C,B,B,C,B,A,B,C,B,B,B,B,C,C,C,A,C,C,B,C,C,C
16,7281479,A,A,C,D,A,C,D,C,A,D,B,A,A,C,B,B,A,A,C,A,A,A,A,A
17,3221233,B,B,B,D,D,C,D,C,C,A,B,C,C,C,D,D,D,A,A,B,B,B,A,B
18,7281482,D,A,D,D,B,D,D,C,C,A,B,A,B,A,C,B,C,C,B,B,C,B,A,D
19,19713010,C,A,B,D,B,C,D,C,A,B,B,A,A,A,D,A,D,A,C,C,A,C,A,A
20,7281497,D,B,B,D,B,B,D,C,A,A,A,A,B,A,A,D,B,C,A,C,A,B,A,B
21,2935320,B,D,B,D,B,C,D,C,B,A,B,C,D,C,B,A,D,A,B,C,C,D,C,C
22,2894250,A,A,B,D,C,C,D,C,A,A,B,C,A,D,D,D,D,A,B,A,B,D,A,C
23,19787025,A,C,B,D,C,C,D,C,D,A,B,C,C,B,A,A,D,A,B,A,A,D,A,C
24,19867899,A,B,B,D,D,D,D,A,A,A,C,C,B,C,D,D,D,A,B,A,A,D,A,C
25,5617033,B,B,B,A,B,C,D,C,D,D,A,A,C,A,A,B,B,A,B,A,A,B,A,B
26,20095920,B,A,B,D,C,C,A,D,B,D,C,C,A,B,A,A,B,C,C,D,A,C,B,A
27,6537066,D,A,A,D,A,A,D,C,B,D,D,A,C,B,A,B,A,B,C,B,A,A,A,B
28,4403628,A,C,B,D,C,C,D,B,A,A,B,C,B,C,D,D,D,D,B,A,A,B,A,A
29,19994341,B,C,C,D,B,C,D,B,D,A,C,C,D,D,D,B,D,A,A,A,B,D,A,B
30,5822861,B,B,B,C,C,C,D,B,A,A,A,C,D,C,D,A,D,C,C,C,B,C,A,A
31,20159184,B,B,B,D,B,C,D,D,A,A,B,A,A,C,D,D,B,A,B,A,B,D,A,C
32,20083776,A,C,B,D,A,A,C,B,C,A,C,B,C,D,D,B,C,C,B,A,B,B,B,C
33,19983608,B,A,B,D,B,C,D,C,A,A,B,C,D,C,A,D,D,A,B,A,A,D,A,C
34,4987193,B,D,A,C,D,B,A,C,B,A,B,B,B,B,C,C,B,A,B,B,B,D,C,A
35,19732621,B,C,C,D,C,C,D,B,A,A,C,B,A,B,C,C,A,C,D,A,C,A,C,B
36,20034081,A,B,B,D,D,C,D,C,A,A,B,C,C,B,A,D,A,D,B,A,A,D,A,B
37,19800434,D,A,B,D,B,C,D,C,A,A,B,C,C,B,D,D,D,A,A,C,B,D,A,C
38,19787249,B,B,B,D,C,A,D,A,B,B,A,B,B,D,B,A,B,C,A,B,B,B,C,B
39,6658032,A,C,A,D,D,C,D,B,D,A,B,C,B,C,A,A,B,C,A,C,C,B,B,B
40,19787492,B,C,B,C,B,B,D,D,D,A,B,C,A,B,B,C,D,B,B,B,A,D,A,C
41,19930400,A,C,B,D,C,A,D,A,D,B,B,B,D,A,A,A,D,A,A,B,A,A,A,C
42,19960315,A,D,C,B,C,A,A,B,B,A,D,D,A,A,D,D,D,C,C,B,C,A,A,D
43,19885419,A,C,A,D,C,A,B,C,C,A,B,A,B,C,B,C,C,C,A,C,C,C,C,D
44,19732771,A,A,D,B,D,C,D,C,A,A,B,D,A,B,C,B,A,D,A,D,A,C,A,A
45,19859450,A,C,D,D,D,B,D,C,D,A,B,C,A,C,A,D,D,C,A,A,A,D,A,C
46,19838609,B,A,B,A,C,C,D,D,A,A,B,C,B,C,D,D,B,A,B,A,B,D,A,C
