N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
1,19997896,B,D,B,C,C,C,C,B,B,C,C,D,B,D,A,D,B,B,D,A,B,D,D,C
2,19997894,B,C,B,C,C,C,A,B,A,C,C,B,B,D,C,D,C,B,B,B,B,D,A,D
3,20291474,B,D,A,C,C,B,D,D,C,C,C,A,B,B,A,C,B,D,A,D,D,A,B,A
4,20095991,B,D,C,C,D,D,B,A,A,D,C,A,B,A,B,A,C,B,A,C,A,D,B,D
5,10077405,B,D,A,C,C,D,A,D,B,C,C,A,B,D,A,D,B,C,A,C,B,A,A,C
6,20066187,B,D,A,C,D,D,A,D,A,C,C,D,B,D,A,D,B,C,D,B,B,D,A,C
7,20174659,C,D,D,C,D,D,B,C,A,A,C,D,C,D,A,B,A,A,B,A,C,A,A,C
8,20097109,B,A,B,A,C,D,C,C,A,B,C,B,B,A,C,B,B,C,C,A,B,A,A,A
9,20110451,C,B,A,C,B,C,D,B,C,B,B,D,B,C,A,B,C,C,D,B,D,C,B,B
10,20097297,C,A,B,D,D,B,B,D,B,D,D,C,A,D,C,A,C,D,A,D,B,A,D,B
11,20097076,B,C,A,C,D,C,C,A,A,C,A,D,B,D,A,D,B,C,B,B,B,D,A,C
12,10067015,B,C,A,C,B,D,D,D,D,A,C,C,C,D,A,B,C,D,D,D,D,D,D,A
13,20281771,B,D,A,C,D,C,C,B,C,C,A,D,B,A,A,D,B,C,D,B,B,D,A,C
14,10058980,B,D,A,C,C,C,A,D,A,D,A,C,B,D,C,D,B,B,B,A,B,B,B,A
15,20304571,B,A,B,C,C,C,C,B,B,A,A,D,A,C,A,B,A,D,B,A,A,C,A,B
16,20097587,B,B,B,A,C,A,D,C,B,C,A,C,B,D,D,D,B,B,B,D,B,C,D,A
17,10003360,B,B,C,B,A,B,B,A,B,B,B,B,C,B,B,C,A,B,B,A,A,A,B,A
18,10019206,B,A,A,C,B,C,A,A,A,C,A,C,B,D,A,D,B,C,A,A,C,A,B,C
19,20098274,B,D,A,A,A,B,C,A,A,A,C,B,A,B,A,B,A,C,A,B,B,B,A,B
20,20098524,B,D,A,C,D,D,C,A,C,C,A,D,B,D,A,B,B,C,A,D,B,D,A,B
21,20098397,B,D,A,C,C,A,A,C,A,C,C,B,B,A,A,A,A,C,A,A,A,D,C,B
22,10024331,B,D,A,A,C,A,C,B,B,C,C,C,B,B,B,D,B,C,B,A,D,A,C,D
23,20098860,B,D,C,C,A,C,D,B,A,C,D,B,A,D,A,A,C,B,A,A,B,C,A,B
24,20099421,B,A,C,C,B,C,A,A,A,D,D,B,B,B,C,A,D,D,A,A,B,D,D,A
25,20100017,B,D,A,C,A,D,C,B,A,D,C,B,A,D,A,D,C,B,A,C,B,D,C,A
26,20099658,A,D,A,B,A,A,C,C,A,C,C,B,B,D,A,D,C,C,A,A,B,D,A,B
27,20228720,B,D,D,C,B,C,D,C,A,D,C,C,B,D,A,A,B,C,B,C,B,B,A,B
28,20292215,B,B,A,C,A,D,D,D,B,D,A,D,B,A,D,A,D,B,A,A,B,D,D,A
29,19863387,B,A,C,C,B,A,D,A,D,C,A,C,B,A,A,A,B,C,D,A,B,A,B,C
30,20273018,B,D,A,C,C,D,C,A,A,C,C,C,B,B,A,D,B,C,D,B,B,D,A,A
31,20100436,B,D,D,C,D,C,C,B,A,C,A,B,B,D,A,D,B,C,C,A,B,D,A,C
32,7281471,B,D,A,C,D,C,C,D,C,C,A,D,B,D,A,D,B,C,D,A,B,D,A,C
33,20097001,C,C,C,C,C,C,C,B,C,C,C,C,B,C,D,C,C,B,C,A,B,D,D,C
34,20099040,B,A,D,A,A,D,B,C,A,D,A,C,B,D,D,A,B,B,A,C,B,B,C,A
35,19863271,B,D,A,C,C,D,C,C,A,C,B,B,B,D,A,D,B,C,C,B,B,B,A,D
36,20100524,D,D,D,D,D,C,C,C,A,C,C,D,B,D,A,B,B,C,D,C,C,D,C,B
37,20100502,B,A,A,B,C,B,B,A,B,C,C,C,A,A,A,A,D,A,A,B,B,B,B,A
38,7281474,B,D,A,C,C,C,D,C,A,C,C,C,B,A,A,B,D,D,A,A,D,A,A,A
39,19885457,B,B,B,C,D,D,D,C,B,B,A,A,B,A,A,B,B,A,A,C,,,,B
40,19863316,B,D,B,C,B,D,A,D,A,A,D,D,B,A,D,A,D,A,A,D,B,D,B,A
41,20129058,B,D,A,C,D,C,C,D,A,C,C,D,B,D,B,B,B,C,D,A,B,D,A,D
42,20095743,B,D,A,C,C,C,C,D,C,C,C,D,B,D,C,D,B,B,D,B,B,D,D,C
43,20129062,B,D,C,A,A,B,C,D,A,C,A,D,B,B,A,D,B,C,A,B,B,D,A,B
44,20112445,B,D,B,B,B,D,C,B,B,A,C,C,A,C,A,A,C,D,B,A,C,D,A,C
45,10033206,B,D,B,C,B,C,C,A,A,C,A,D,B,D,A,D,B,C,D,B,B,D,A,C
46,20095760,B,D,A,C,D,C,A,D,A,C,A,D,B,D,C,B,B,C,D,B,B,D,A,C
47,20084146,A,C,D,C,C,C,D,C,B,D,C,C,B,A,D,A,D,C,A,D,B,C,B,A
48,20254210,B,D,A,C,D,C,D,A,A,C,A,D,B,D,C,D,B,C,B,D,B,D,A,C
49,20095781,B,D,A,B,D,C,C,A,C,A,B,D,B,C,A,D,C,C,B,C,B,C,D,A
50,10153128,A,D,B,C,B,A,D,D,B,C,C,B,B,B,A,A,B,C,A,B,B,A,C,A
51,19859345,B,C,A,C,A,D,C,B,A,A,C,D,B,D,C,A,C,B,C,A,B,C,A,A
52,19815596,B,D,C,C,A,C,C,A,A,C,B,A,B,D,A,D,B,B,A,C,B,A,A,D
53,20104813,B,D,A,C,A,A,C,D,A,C,C,A,B,D,A,D,B,C,B,A,B,D,D,C
54,20129132,B,D,C,C,B,C,D,A,B,A,A,D,C,D,A,D,C,C,D,A,B,A,D,A
55,10865046,B,D,A,C,C,C,C,A,C,C,B,D,B,D,A,D,B,B,D,D,B,D,A,C
56,7322198,C,C,A,B,C,B,C,B,A,A,B,C,B,B,A,B,B,B,C,A,B,B,C,B
57,20119802,D,A,A,A,A,B,B,C,B,A,C,B,B,B,B,C,C,D,C,C,B,C,B,A
58,20145709,B,D,A,D,A,A,A,C,A,D,B,A,B,B,B,A,B,A,A,A,B,A,A,A
59,20140788,B,B,B,B,B,B,B,B,B,B,C,B,C,B,C,C,B,B,C,B,B,C,B,B
60,6050026,A,A,A,A,B,C,C,A,A,B,C,C,B,A,A,A,B,C,C,B,A,D,C,A
61,20118450,A,D,D,D,B,D,D,B,A,B,C,A,B,A,C,B,B,D,C,B,D,A,B,D
62,20217027,B,C,A,B,A,A,A,B,A,B,A,A,A,C,A,A,B,B,B,D,B,B,A,A
63,20066794,A,D,A,C,C,A,A,D,A,A,D,C,A,D,A,D,A,C,D,A,D,D,A,B
65,20227473,B,D,C,C,D,C,C,D,A,C,A,D,A,A,A,B,B,C,D,A,B,D,A,D
66,19846808,,C,A,D,C,,,,,,,,,,,,,,,,,,,
67,20168675,B,D,B,C,B,A,A,C,C,A,C,C,A,B,C,B,A,C,D,C,A,B,C,D
68,20048428,B,D,C,C,D,C,C,D,C,C,A,D,,,,,,,,,,,,
