N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
1,10074367,C,D,A,C,B,A,A,D,B,D,A,B,D,C,B,A,D,A,A,C,C,C,B,D
2,10032205,A,D,A,C,D,D,A,D,D,D,D,B,D,A,B,A,C,A,A,A,D,B,A,D
3,10337029,B,A,A,C,A,C,B,B,C,A,C,A,B,A,D,C,A,B,B,B,B,A,B,B
4,10073466,C,D,A,C,B,A,A,D,B,A,C,D,D,D,B,A,D,A,A,D,D,C,A,D
5,10098201,C,D,A,C,B,A,C,D,B,A,D,B,A,D,A,A,A,A,C,A,A,A,A,A
6,10107910,B,D,A,B,B,D,B,C,C,D,C,D,C,B,B,A,A,C,D,C,A,A,A,A
7,10199028,C,B,A,A,B,A,A,B,A,A,A,B,D,A,C,D,D,A,A,D,C,C,B,C
8,10031005,C,C,A,C,B,A,A,C,D,A,D,B,B,C,B,A,D,A,D,B,A,C,A,B
9,10105835,C,D,A,C,B,A,A,C,B,D,D,D,D,D,B,A,D,C,A,D,D,C,B,B
10,10069995,C,A,C,C,B,A,A,D,B,B,A,B,D,D,B,A,C,A,A,A,A,C,A,C
11,10105485,C,A,A,B,B,C,A,D,B,A,D,A,B,D,A,A,D,B,A,B,D,C,D,A
12,10502864,C,D,D,C,B,D,D,B,D,D,D,D,D,B,B,B,D,B,A,B,D,A,A,C
13,10031811,C,A,A,C,B,A,A,D,A,A,D,B,A,C,B,A,C,A,A,D,D,C,B,B
14,10023817,C,D,D,C,D,A,A,D,A,D,D,D,B,C,B,A,D,C,C,B,A,B,A,A
