N°,NIE,G1-LEG1,G1-LEG2,G1-LEG3,G1-LEG4,G1-LEG5,G1-LEG6,G2-LEG7,G2-LEG8,G2-LEG9,G2-LEG10,G2-LEG11,G2-LEG12,G3-LEG13,G3-LEG14,G3-LEG15,G3-LEG16,G3-LEG17,G3-LEG18,G4-LEG19,G4-LEG20,G4-LEG21,G4-LEG22,G4-LEG23,G4-LEG24
1,20304563,B,C,C,B,C,C,C,C,C,A,C,B,C,A,A,C,C,A,D,A,B,C,D,C
2,20292379,D,C,C,C,A,C,C,C,B,B,B,A,D,A,B,A,A,A,D,C,B,D,B,B
3,10404011,B,C,D,B,C,A,C,A,B,B,A,D,D,D,B,C,A,A,D,B,C,D,A,A
4,10175734,B,C,A,B,A,C,C,A,B,C,B,A,B,C,B,A,A,A,D,A,B,C,D,A
5,10381002,C,B,A,B,A,C,B,A,A,A,C,D,D,A,A,A,B,A,C,B,B,D,B,B
6,20304572,A,C,A,B,A,A,A,A,A,B,A,B,A,D,A,B,A,C,A,B,A,A,A,A
7,10071344,B,A,A,D,A,B,A,B,A,B,C,D,A,A,C,A,A,C,B,C,D,A,A,A
8,20304580,B,C,A,D,A,C,C,A,A,B,A,C,D,C,B,A,A,A,D,C,B,C,A,A
9,20335683,B,C,B,B,A,C,B,C,A,C,D,A,B,A,D,A,A,A,C,B,C,B,B,D
10,20409821,B,C,A,B,A,C,A,A,A,D,D,D,B,A,B,A,B,A,D,A,A,B,B,A
11,10106700,B,C,A,C,A,C,C,C,B,A,B,D,B,C,B,C,C,A,D,A,B,C,D,B
12,10400728,B,C,A,B,A,C,C,D,B,C,B,D,B,C,B,A,A,A,C,A,B,D,B,A
13,20335693,B,C,A,B,A,C,A,C,B,C,D,C,B,C,B,A,A,A,D,C,B,C,D,B
14,20367775,B,C,D,C,D,C,C,C,B,A,B,D,C,C,A,A,B,A,D,A,B,A,A,B
15,20335695,A,D,C,B,A,B,B,A,A,A,C,D,D,D,A,D,B,A,C,B,B,D,B,C
16,20320478,B,C,B,B,A,C,C,C,B,C,B,D,B,C,A,A,C,A,D,C,B,C,D,A
17,10114257,B,C,A,D,A,C,C,A,B,B,B,B,B,C,B,C,A,A,D,A,B,C,B,A
18,10461171,B,C,D,B,A,C,C,C,B,A,B,D,B,C,B,C,D,A,D,A,B,C,D,D
19,10071537,A,A,A,B,B,A,A,B,A,B,C,C,B,A,A,B,A,C,A,A,C,A,B,A
20,20292206,B,D,A,B,C,C,C,A,B,B,C,C,B,C,B,A,A,A,D,A,B,A,C,B
21,10301073,B,C,D,B,A,C,C,C,B,C,B,D,B,C,B,C,A,A,D,A,B,C,D,A
22,10152673,B,C,A,B,A,C,C,C,A,A,B,D,B,A,B,A,D,A,D,A,B,C,D,A
23,20084088,B,C,D,A,A,C,C,C,B,B,B,A,B,C,B,A,B,A,D,D,B,C,D,D
24,10126749,B,C,A,C,A,C,C,D,C,B,D,D,B,B,B,A,A,C,D,A,B,D,B,A
25,10152630,B,C,D,B,A,C,B,C,B,B,B,D,B,A,B,A,A,A,D,A,B,C,D,B
26,10152322,B,B,A,A,D,B,D,A,D,A,A,B,B,A,A,A,C,A,A,C,C,A,A,B
27,10033708,B,C,A,B,A,C,C,C,B,A,A,A,C,B,B,A,A,A,D,A,C,C,B,A
28,10152691,B,C,B,D,A,C,C,A,B,A,D,D,B,C,A,C,B,A,D,A,B,A,B,A
29,10152792,C,C,A,B,A,C,A,C,B,A,B,A,B,C,D,A,A,A,D,A,B,C,B,A
30,10068519,,,,,,,,,,,,,,,,,,,,,,,,
